year,avg_coverage
,
1980.0,44.25082946250829
1981.0,46.11565762004176
1982.0,48.78359332974718
1983.0,52.86071428571429
1984.0,53.96949384404925
1985.0,56.211462788708296
1986.0,60.27389525368248
1987.0,63.739984258166075
1988.0,67.41313672922253
1989.0,70.74781132075472
1990.0,74.98929083094556
1991.0,74.41360655737705
1992.0,74.32751752708732
1993.0,75.11604361370716
1994.0,76.33893996247654
1995.0,78.23603662138215
1996.0,78.87668860305116
1997.0,78.66445524735487
1998.0,78.24070359281437
1999.0,78.83511297798378
2000.0,78.3653512880562
2001.0,77.26597592035193
2002.0,79.5386572104019
2003.0,81.07049382716049
2004.0,81.9739918367347
2005.0,83.23952660406886
2006.0,83.87755637636081
2007.0,83.73692037037037
2008.0,83.8302644055434
2009.0,84.47218800358102
2010.0,79.34073489121677
2011.0,79.81168845315904
2012.0,80.10745103770827
2013.0,79.64807323701903
2014.0,80.46169635627531
2015.0,80.51307577081514
2016.0,81.2744534800287
2017.0,81.21623004272544
2018.0,83.90783815765519
2019.0,80.52107165504121
2020.0,80.47976656557302
2021.0,77.90730985915494
2022.0,79.09480984719865
2023.0,80.03930554390674
