country_name,avg_coverage
Morocco,114.39320036264732
Montserrat,97.18380835380835
Monaco,96.45953002610966
Hungary,96.09910656620022
"occupied Palestinian territory, including east Jerusalem",95.97766621438262
Cuba,95.89575782537068
Turkmenistan,95.49090551181102
Saint Kitts and Nevis,94.92612284069098
Slovakia,93.89379032258064
Albania,93.8614378554021
Andorra,93.38637065637066
Tokelau,93.36183953033269
Brunei Darussalam,93.25747906976744
Anguilla,93.1108249496982
China,92.9795608531995
Poland,92.86792766373412
Tonga,92.82762331838565
Czechia,92.59828267477204
Norway,92.27532367149759
Oman,92.20441222570533
Chile,92.01392109500804
Saudi Arabia,91.97179712460064
Saint Vincent and the Grenadines,91.92749757516974
Nicaragua,91.89823981552652
Russian Federation,91.65862232779097
French Polynesia,91.51266666666668
Finland,91.2941506849315
Tajikistan,91.06358627858627
Seychelles,90.98472089314194
Kazakhstan,90.9761218836565
Antigua and Barbuda,90.87561298076922
Uzbekistan,90.84807347670251
Mongolia,90.76327898550726
New Caledonia,90.64485294117647
Sri Lanka,90.5616596461668
United Arab Emirates,90.4668505942275
Aruba,90.3364224137931
Kuwait,90.29703629032258
Niue,90.29447552447553
Libya,90.27448579823702
Republic of Korea,90.17644773358002
Denmark,90.12013347022587
Israel,90.0390542763158
Bulgaria,90.01038336052201
Qatar,89.90966426858513
Iceland,89.89707212055974
Croatia,89.79303162486369
Netherlands (Kingdom of the),89.72622390891841
"China, Hong Kong SAR",89.49095238095238
Wallis and Futuna,89.48443478260869
Japan,89.47319025522042
Egypt,89.47076254826256
Bahrain,89.35440569395018
Portugal,89.29890041493776
Spain,89.11767371601209
Singapore,89.10801928133216
Sint Maarten (Dutch part),89.09803921568627
Tuvalu,89.08956124314442
Cook Islands,89.08421052631579
Kyrgyzstan,89.07875961538461
Maldives,89.06298214285714
Latvia,88.94439065108514
Malaysia,88.89352088661552
Costa Rica,88.88261551155115
Serbia,88.54781285231117
Tunisia,88.50422123893806
Dominica,88.49114414414414
Australia,88.40241648106904
Belgium,87.78271356783918
Uruguay,87.50999159663866
Luxembourg,87.36581102362204
Kosovo (in accordance with UN Security Council resolution 1244 (1999)),87.35283464566929
Lithuania,87.26451033243485
"China, Macao SAR",87.17254752851711
Romania,86.96635705669482
Armenia,86.8244783010157
Honduras,86.81077770130764
Palau,86.79852189781022
Algeria,86.49476076555024
Rwanda,86.3560628465804
Nauru,86.3409669522644
Iran (Islamic Republic of),86.21648535564853
Fiji,86.19125641025641
Cabo Verde,86.18616379310345
Mauritius,85.90831046312178
North Macedonia,85.69816916488222
Guyana,85.57944734876774
Cayman Islands,85.55627272727273
United Republic of Tanzania,85.42053285968029
Türkiye,85.42035323801514
Republic of Moldova,85.30972338642079
Jordan,85.30429744525547
Gambia,85.23752959747435
Belarus,85.15536458333332
Estonia,84.94975442043223
Mexico,84.8504694167852
Azerbaijan,84.81445269016697
Saint Lucia,84.76560491493383
Slovenia,84.56032863849765
Sweden,84.47417452830189
Malta,84.18869168356999
British Virgin Islands,84.12565420560747
Greece,83.92778963414634
Canada,83.76598214285714
Curaçao,83.5049504950495
Switzerland,83.28433874709978
Sao Tome and Principe,83.08232421875
Cyprus,82.92524495677233
United States of America,82.8612044198895
Thailand,82.57336643495532
Viet Nam,82.37124731182796
Panama,82.3259694850604
Democratic People's Republic of Korea,82.21695481335954
Malawi,82.04233449477353
Belize,81.98260938743039
Barbados,81.9561909448819
Turks and Caicos Islands,81.89504761904762
Bhutan,81.88649476228848
Ireland,81.79188657407407
El Salvador,81.75688618468146
United Kingdom of Great Britain and Northern Ireland,81.74934535104364
Argentina,81.65330763840224
Brazil,81.46130779392338
Italy,81.44391003460207
Germany,81.17861861861861
Botswana,81.12153218495014
New Zealand,80.87124760076775
Colombia,80.37471362738644
Georgia,80.36279756733276
Grenada,80.3605382131324
Bangladesh,80.35396135265701
San Marino,80.1803211517165
Burundi,80.09214221422141
Bahamas,80.0060418482999
Zambia,79.97568780487805
Trinidad and Tobago,79.78041034790365
Benin,79.70271153846154
France,79.52767220902614
Eswatini,79.12608735213831
Zimbabwe,79.01234703196347
Bosnia and Herzegovina,78.60889714993804
Jamaica,78.3493678665496
Ghana,77.8097387755102
Ecuador,77.59475552578701
Sierra Leone,77.52360917248255
Samoa,77.48984570877532
Burkina Faso,77.41880255941498
Namibia,76.9692190889371
Kiribati,76.54298664122138
Montenegro,76.31020134228187
Bermuda,76.16464968152867
Timor-Leste,76.0860319767442
Cambodia,76.00098451327433
Austria,75.93146373056994
Lebanon,75.8285886214442
South Africa,75.67664166666667
Senegal,75.65273056057866
Ukraine,75.39905125408941
Mozambique,75.25956790123458
Peru,75.11377837116154
Dominican Republic,74.92468005952381
Guam,74.6236328125
Syrian Arab Republic,74.3604326923077
Suriname,74.29357715430862
Nepal,74.2926001863933
Guatemala,73.80036431226766
Eritrea,73.4091815320042
India,73.30756398940865
Togo,72.97073868882732
Marshall Islands,72.88701915070774
Uganda,72.57834905660377
Micronesia (Federated States of),72.29696601941748
Lesotho,71.58740284360191
Bolivia (Plurinational State of),71.31563012677107
Solomon Islands,71.07147918511957
Kenya,70.77634168157424
Iraq,70.7352862745098
Paraguay,70.67648943918428
Indonesia,70.49315485996705
Comoros,70.37563636363636
Northern Mariana Islands,69.86124542124541
Congo,69.2904644549763
Myanmar,69.21328139321723
Côte d'Ivoire,68.9394459582198
Mali,68.26559817351598
Sudan,67.87039575289575
Madagascar,67.83849074975657
Djibouti,67.83604914933836
Vanuatu,67.3911388286334
Pakistan,66.81893911439114
Developed economy,66.71939736346516
Guinea-Bissau,66.66279916753382
